ReferredaFriend,NumberofReferrals,Tenure,PhoneService,AvLongDistCharges,MultipleLines,InternetService,AvgGBdownload,OnlineSecurity,OnlineBackup,DeviceProtectionPlan,PremiumTechSupport,StreamingTV,StreamingMovies,StreamingMusic,UnlimitedData,PaperlessBilling,MonthlyCharges,TotalCharges,TotalRefunds,TotalExtraDataCharges,TotalLongDistCharges,TotalRevenue,gender,SeniorCitizen,Partner,Dependents,OfferNone,OfferOfferA,OfferOfferB,OfferOfferC,OfferOfferD,OfferOfferE,InternetTypeCable,InternetTypeDSL,InternetTypeFiberOptic,InternetTypeNone,ContractMonth-to-Month,ContractOneYear,ContractTwoYear,PaymentMethodBankWithdrawal,PaymentMethodCreditCard,PaymentMethodMailedCheck,Churn
0,-0.6504085499394767,-0.6677487459634591,1,-1.1114737562619958,1,1,-0.8088851646617503,0,1,0,0,0,0,0,1,0,-0.31446824295036285,-0.6200328011095826,-0.24831296685183657,-0.27330037394865414,-0.775406689601394,-0.7212524409885214,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
0,-0.6504085499394767,-0.8307458144769808,1,-0.3883567761757043,1,1,-0.12319855548709195,0,1,1,0,1,1,1,1,1,1.3473287572157604,-0.4433825466258801,-0.24831296685183657,-0.27330037394865414,-0.6444357386802372,-0.5428301725634886,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
0,-0.6504085499394767,-1.2789877528891656,1,1.6981302666337115,0,1,-0.17217617042813899,0,0,0,1,0,0,0,1,0,-0.5238546649712943,-0.9846966477061537,-0.24831296685183657,-0.27330037394865414,-0.8267296316786332,-1.0248474350729795,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
1,2.015381756148388,1.0437204734285188,1,0.2609595452446629,1,1,1.5910179674495541,1,0,0,1,0,1,1,1,1,0.12092257109316168,0.7466126475803446,-0.24831296685183657,-0.27330037394865414,0.9642343376141681,0.8737486771626248,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
1,0.01603902658248947,-1.1974892186324047,1,-0.24463970403679955,0,1,0.07271190427709617,0,1,0,1,0,0,0,1,1,0.5064594751317021,-0.8998356835862038,-0.24831296685183657,-0.27330037394865414,-0.8168666497144227,-0.9548125585921258,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
0,-0.6504085499394767,-1.2789877528891656,0,-1.4863034173810314,0,1,1.346129892744319,0,0,0,0,0,0,0,0,0,-1.33148800705203,-0.9954201080707653,-0.24831296685183657,2.515189223742281,-0.884832635609114,-1.0260655846813433,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
1,1.3489341796264218,-0.178757540422894,1,1.1944731399487205,1,1,0.4645328238054724,0,0,0,0,0,0,0,1,0,-0.49394231896830415,-0.3839842846885673,-0.24831296685183657,-0.27330037394865414,0.48473985874571157,-0.16218110754998363,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
1,0.01603902658248947,1.4919624118407036,1,-0.23104484586149768,1,1,-0.36808663019232707,0,1,0,1,1,1,1,1,0,1.3506523512160928,2.0822792107725054,-0.24831296685183657,-0.27330037394865414,0.6955005619641643,1.8507779614708275,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
0,-0.6504085499394767,0.10648732947576899,1,-0.1663074259791081,1,1,0.023734289336049142,1,0,0,0,0,0,0,1,0,-0.3161300399505289,-0.15722502097022995,-0.24831296685183657,-0.27330037394865414,-0.04187250641644034,-0.1384394065869751,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
0,-0.6504085499394767,0.2694843979892907,0,-1.4863034173810314,0,1,-0.36808663019232707,1,0,0,1,1,0,0,1,0,-0.6551366279844181,-0.21613785877581143,-0.24831296685183657,-0.27330037394865414,-0.884832635609114,-0.43412864461715306,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
